title,thumbnail,score,link
Blade Runner : Black Lotus,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6ac8b27-110x150.jpg,4,https://voiranime.com/anime/blade-runner-black-lotus/
World Trigger 3,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b66628a3-110x150.jpg,4.2,https://voiranime.com/anime/world-trigger-3/
One Piece,https://voiranime.com/wp-content/uploads/2020/01/thumb_5e10959f42183-110x150.jpg,4.1,https://voiranime.com/anime/one-piece/
Muteking the Dancing Hero,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b4e4a982-110x150.jpg,3.3,https://voiranime.com/anime/muteking-the-dancing-hero/
Jahy-sama wa Kujikenai!,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf9864db1-110x150.jpg,4,https://voiranime.com/anime/jahy-sama-wa-kujikenai/
86: Eighty Six,https://voiranime.com/wp-content/uploads/2021/03/thumb_60520cb201e55-110x150.jpg,4.5,https://voiranime.com/anime/86-eighty-six/
Senpai ga Uzai Kouhai no Hanashi,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b659cd65-110x150.jpg,4.1,https://voiranime.com/anime/senpai-ga-uzai-kouhai-no-hanashi/
Build Divide: Code Black,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b68ef81d-110x150.png,3.9,https://voiranime.com/anime/build-divide-code-black/
Tensura Nikki: Tensei Shitara Slime Datta Ken (VF),https://voiranime.com/wp-content/uploads/2021/03/thumb_60520ca742e1c-110x150.jpg,4,https://voiranime.com/anime/tensura-nikki-tensei-shitara-slime-datta-ken-vf/
Saihate no Paladin,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b640bd25-110x150.jpg,4.2,https://voiranime.com/anime/saihate-no-paladin/
Yakunara Mug Cup Mo 2: Niban Kama,https://voiranime.com/wp-content/uploads/2021/10/thumb_6157542b6717e-110x150.jpg,3.1,https://voiranime.com/anime/yakunara-mug-cup-mo-2-niban-kama/
Music Up: Reborn,https://voiranime.com/wp-content/uploads/2021/01/thumb_6004ef318f3a8-110x150.jpg,3.3,https://voiranime.com/anime/music-up-reborn/
Isekai Shokudou 2,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b4d87068-110x150.jpg,4,https://voiranime.com/anime/isekai-shokudou-2/
Détective Conan,https://voiranime.com/wp-content/uploads/2020/02/thumb_5e53bbbc81c8f-110x150.jpg,4.1,https://voiranime.com/anime/meitantei-conan/
Shiroi Suna no Aquatope,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf9eaee55-110x150.jpg,4,https://voiranime.com/anime/shiroi-suna-no-aquatope/
Deep Insanity: The Lost Child (VF),https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6c40e35-110x150.jpg,3.6,https://voiranime.com/anime/deep-insanity-the-lost-child-vf/
Deji Meets Girl,https://voiranime.com/wp-content/uploads/2021/11/thumb_61a34ae323753-110x150.jpg,4.2,https://voiranime.com/anime/deji-meets-girl/
Lupin III: Part VI,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b634a96d-110x150.jpg,4.1,https://voiranime.com/anime/lupin-iii-part-vi/
Yu☆Gi☆Oh! SEVENS,https://voiranime.com/wp-content/uploads/2020/04/thumb_5ea8d88c2dc4a-110x150.jpg,2.7,https://voiranime.com/anime/yu%e2%98%86gi%e2%98%86oh-sevens-2/
Yu☆Gi☆Oh! Duel Monsters,https://voiranime.com/wp-content/uploads/2020/01/thumb_5e11f45c8970a-110x150.png,4.2,https://voiranime.com/anime/yu%e2%98%86gi%e2%98%86oh-duel-monsters/
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,https://voiranime.com/wp-content/uploads/2021/12/thumb_61b33fb532792-110x150.jpg,4.5,https://voiranime.com/anime/mahoutsukai-no-yome-nishi-no-shounen-to-seiran-no-kishi/
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai Movie (VF),https://voiranime.com/wp-content/uploads/2020/01/thumb_5e20896c0f644-110x150.jpg,4.4,https://voiranime.com/anime/seishun-buta-yarou-wa-yumemiru-shoujo-no-yume-wo-minai-movie-vf/
Yuuki Yuuna wa Yuusha de Aru: Dai-Mankai no Shou,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6fe3555-110x150.jpg,4.1,https://voiranime.com/anime/yuuki-yuuna-wa-yuusha-de-aru-dai-mankai-no-shou/
Tropical-Rouge! Precure,https://voiranime.com/wp-content/uploads/2021/03/thumb_603d03b3ea9c9-110x150.png,3.1,https://voiranime.com/anime/tropical-rouge-precure/
